"Dataset Name","Observation Date","Series Key","Series Display Name","Observation Value","Unit","Observation Status","Observation Status Comment","Sequence No.","Series name"
"Advances Classified By Securities/ Borrowers","31-Jul-2024","TS_GP_BAM_ADVBYBOR_M.ABS0000100",". FOREIGN CONSTITUENTS","0","Billion PKR","Normal","","10","Outstanding Advances Of All Banks To Foreign Constituents"
"Advances Classified By Securities/ Borrowers","31-Jul-2024","TS_GP_BAM_ADVBYBOR_M.ABS0000200",". DOMESTIC CONSTITUENTS","11537.54747","Billion PKR","Normal","","11","Outstanding Advances Of All Banks To Domestic Constituents"
"Advances Classified By Securities/ Borrowers","31-Jul-2024","TS_GP_BAM_ADVBYBOR_M.ABS0000300","....... GOVERNMENT","1593.172264","Billion PKR","Normal","","12","Outstanding Advances Of All Banks To Government"
"Advances Classified By Securities/ Borrowers","31-Jul-2024","TS_GP_BAM_ADVBYBOR_M.ABS0000400","....... NON-FINANCIAL PUBLIC SECTOR ENTERPRISES (NFPSE)","1558.455813","Billion PKR","Normal","","13","Outstanding Advances Of All Banks To Non-Financial Public Sector Enterprises (NFPSEs)"
"Advances Classified By Securities/ Borrowers","31-Jul-2024","TS_GP_BAM_ADVBYBOR_M.ABS0000500","....... NON-BANK FINANCIAL INSTITUTIONS (NBFIs)","192.979044","Billion PKR","Normal","","14","Outstanding Advances Of All Banks To Non-Bank Financial Institutions (NBFIs)"
"Advances Classified By Securities/ Borrowers","31-Jul-2024","TS_GP_BAM_ADVBYBOR_M.ABS0000600","....... PRIVATE SECTOR (BUSINESS)","7034.689564","Billion PKR","Normal","","15","Outstanding Advances Of All Banks To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","31-Jul-2024","TS_GP_BAM_ADVBYBOR_M.ABS0000700","............. GOLD BULLION, GOLD, AND SILVER ORNAMENTS, PRECIOUS METALS","88.745919","Billion PKR","Normal","","16","Outstanding Advances Of All Banks Against Gold Bullion, Gold, And Silver Ornaments, Precious Metals - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","31-Jul-2024","TS_GP_BAM_ADVBYBOR_M.ABS0000800","............. SECURITIES, SHARES AND OTHER FINANCIAL INSTRUMENTS","63.60436","Billion PKR","Normal","","17","Outstanding Advances Of All Banks Against Securities, Shares And Other Financial Instruments - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","31-Jul-2024","TS_GP_BAM_ADVBYBOR_M.ABS0000900","................... Quoted On Stock Exchange","35.158721","Billion PKR","Normal","","18","Outstanding Advances Of All Banks Against Securities Quoted On Stock Exchange - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","31-Jul-2024","TS_GP_BAM_ADVBYBOR_M.ABS0001000","......................... To Stock Brokers And Dealers","20.034725","Billion PKR","Normal","","19","Outstanding Advances Of All Banks To Stock Brokers And Dealers Against Securities Quoted On Stock Exchange - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","31-Jul-2024","TS_GP_BAM_ADVBYBOR_M.ABS0001100","............................... Government And Others Trustee Securities","1.836089","Billion PKR","Normal","","20","Outstanding Advances Of All Banks To Stock Brokers And Dealers Against Government and Other Trustee Securities Quoted On Stock Exchange - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","31-Jul-2024","TS_GP_BAM_ADVBYBOR_M.ABS0001200","............................... Shares and Debentures","18.175259","Billion PKR","Normal","","21","Outstanding Advances Of All Banks To Stock Brokers And Dealers Against Shares And Debentures Quoted On Stock Exchange - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","31-Jul-2024","TS_GP_BAM_ADVBYBOR_M.ABS0001300","............................... Participation Term Certificates (PTC)","0","Billion PKR","Normal","","22","Outstanding Advances Of All Banks To Stock Brokers And Dealers Against PTCs Quoted On Stock Exchange - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","31-Jul-2024","TS_GP_BAM_ADVBYBOR_M.ABS0001400","............................... Others",".023377","Billion PKR","Normal","","23","Outstanding Advances Of All Banks To Stock Brokers And Dealers Against Securities Other than Govt Trustee Securities, Shares & Debentures and PTCs Quoted On Stock Exchange - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","31-Jul-2024","TS_GP_BAM_ADVBYBOR_M.ABS0001500","......................... To Others","15.123996","Billion PKR","Normal","","24","Outstanding Advances Of All Banks To Borrowers Other than Stock Brokers and Dealers Against Securities Quoted On Stock Exchange - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","31-Jul-2024","TS_GP_BAM_ADVBYBOR_M.ABS0001600","............................... Government and Other Trustee Securities",".044603","Billion PKR","Normal","","25","Outstanding Advances Of All Banks To Borrowers Other than Stock Brokers and Dealers Against Government and Other Trustee Securities Quoted On Stock Exchange - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","31-Jul-2024","TS_GP_BAM_ADVBYBOR_M.ABS0001700","............................... Shares And Debentures","14.233025","Billion PKR","Normal","","26","Outstanding Advances Of All Banks To Borrowers Other than Stock Brokers and Dealers Against Shares And Debentures Quoted On Stock Exchange - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","31-Jul-2024","TS_GP_BAM_ADVBYBOR_M.ABS0001800","............................... Participation Term Certificates (PTC)",".007995","Billion PKR","Normal","","27","Outstanding Advances Of All Banks To Borrowers Other than Stock Brokers and Dealers Against PTCs Quoted On Stock Exchange - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","31-Jul-2024","TS_GP_BAM_ADVBYBOR_M.ABS0001900","............................... Others",".838373","Billion PKR","Normal","","28","Outstanding Advances Of All Banks To Borrowers Other than Stock Brokers and Dealers Against Securities Other than Govt Trustee Securities, Shares & Debentures and PTCs Quoted On Stock Exchange - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","31-Jul-2024","TS_GP_BAM_ADVBYBOR_M.ABS0002000","................... Unquoted On The Stock Exchange","28.445639","Billion PKR","Normal","","29","Outstanding Advances Of All Banks Against Securities Unquoted On Stock Exchange - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","31-Jul-2024","TS_GP_BAM_ADVBYBOR_M.ABS0002100","......................... To Stock Brokers And Dealers","7.0503","Billion PKR","Normal","","30","Outstanding Advances Of All Banks To Stock Brokers And Dealers Against Securities Unquoted on Stock Exchange - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","31-Jul-2024","TS_GP_BAM_ADVBYBOR_M.ABS0002200","............................... Government and Other Trustee Securities","0","Billion PKR","Normal","","31","Outstanding Advances Of All Banks To Stock Brokers And Dealers Against Government and Other Trustee Securities Unquoted on Stock Exchange - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","31-Jul-2024","TS_GP_BAM_ADVBYBOR_M.ABS0002300","............................... Shares and Debentures","6.568756","Billion PKR","Normal","","32","Outstanding Advances Of All Banks To Stock Brokers And Dealers Against Shares And Debentures Unquoted on Stock Exchange - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","31-Jul-2024","TS_GP_BAM_ADVBYBOR_M.ABS0002400","............................... Participation Term Certificates (PTC)","0","Billion PKR","Normal","","33","Outstanding Advances Of All Banks To Stock Brokers And Dealers Against PTCs Unquoted on Stock Exchange - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","31-Jul-2024","TS_GP_BAM_ADVBYBOR_M.ABS0002500","............................... Others",".481544","Billion PKR","Normal","","34","Outstanding Advances Of All Banks To Stock Brokers And Dealers Against Securities Other than Govt Trustee Securities, Shares & Debentures and PTCs Unquoted on Stock Exchange - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","31-Jul-2024","TS_GP_BAM_ADVBYBOR_M.ABS0002600","......................... To Others","21.395339","Billion PKR","Normal","","35","Outstanding Advances Of All Banks To Borrowers Other than Stock Brokers and Dealers Against Securities Unquoted on Stock Exchange - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","31-Jul-2024","TS_GP_BAM_ADVBYBOR_M.ABS0002700","............................... Government and Other Trustee Securities","3.936261","Billion PKR","Normal","","36","Outstanding Advances Of All Banks To Borrowers Other than Stock Brokers and Dealers Against Government and Other Trustee Securities Unquoted on Stock Exchange - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","31-Jul-2024","TS_GP_BAM_ADVBYBOR_M.ABS0002800","............................... Shares and Debentures","1.17184","Billion PKR","Normal","","37","Outstanding Advances Of All Banks To Borrowers Other than Stock Brokers and Dealers Against Shares And Debentures Unquoted on Stock Exchange - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","31-Jul-2024","TS_GP_BAM_ADVBYBOR_M.ABS0002900","............................... Participation Term Certificates (PTC)","0","Billion PKR","Normal","","38","Outstanding Advances Of All Banks To Borrowers Other than Stock Brokers and Dealers Against PTCs Unquoted on Stock Exchange - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","31-Jul-2024","TS_GP_BAM_ADVBYBOR_M.ABS0003000","............................... Others","16.287238","Billion PKR","Normal","","39","Outstanding Advances Of All Banks To Borrowers Other than Stock Brokers and Dealers Against Securities Other than Govt Trustee Securities, Shares & Debentures and PTCs Unquoted on Stock Exchange - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","31-Jul-2024","TS_GP_BAM_ADVBYBOR_M.ABS0003100","............. MERCHANDISE","2623.650897","Billion PKR","Normal","","40","Outstanding Advances Of All Banks Against Merchandise - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","31-Jul-2024","TS_GP_BAM_ADVBYBOR_M.ABS0003200","................... Food Items","640.95578","Billion PKR","Normal","","41","Outstanding Advances Of All Banks Against Food Items - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","31-Jul-2024","TS_GP_BAM_ADVBYBOR_M.ABS0003300","......................... Wheat","58.783573","Billion PKR","Normal","","42","Outstanding Advances Of All Banks Against Wheat - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","31-Jul-2024","TS_GP_BAM_ADVBYBOR_M.ABS0003400","......................... Rice and Paddy","90.809913","Billion PKR","Normal","","43","Outstanding Advances Of All Banks Against Rice And Paddy - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","31-Jul-2024","TS_GP_BAM_ADVBYBOR_M.ABS0003500","......................... Other Grains and Pulses","24.443707","Billion PKR","Normal","","44","Outstanding Advances Of All Banks Against Grains And Pulses other than Wheat and Rice & Paddy - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","31-Jul-2024","TS_GP_BAM_ADVBYBOR_M.ABS0003600","............................... Indigenous","23.066799","Billion PKR","Normal","","45","Outstanding Advances Of All Banks Against Indigenous Grains And Pulses other than Wheat and Rice & Paddy - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","31-Jul-2024","TS_GP_BAM_ADVBYBOR_M.ABS0003700","............................... Imported","1.376908","Billion PKR","Normal","","46","Outstanding Advances Of All Banks Against Imported Grains And Pulses other than Wheat and Rice & Paddy - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","31-Jul-2024","TS_GP_BAM_ADVBYBOR_M.ABS0003800","......................... Edible Oils","77.955352","Billion PKR","Normal","","47","Outstanding Advances Of All Banks Against Edible Oils - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","31-Jul-2024","TS_GP_BAM_ADVBYBOR_M.ABS0003900","............................... Indigenous","72.272229","Billion PKR","Normal","","48","Outstanding Advances Of All Banks Against Indigenous Edible Oils - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","31-Jul-2024","TS_GP_BAM_ADVBYBOR_M.ABS0004000","............................... Imported","5.683123","Billion PKR","Normal","","49","Outstanding Advances Of All Banks Against Imported Edible Oils - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","31-Jul-2024","TS_GP_BAM_ADVBYBOR_M.ABS0004100","......................... Sugar","298.713137","Billion PKR","Normal","","50","Outstanding Advances Of All Banks Against Sugar - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","31-Jul-2024","TS_GP_BAM_ADVBYBOR_M.ABS0004200","............................... Indigenous","298.298472","Billion PKR","Normal","","51","Outstanding Advances Of All Banks Against Indigenous Sugar - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","31-Jul-2024","TS_GP_BAM_ADVBYBOR_M.ABS0004300","............................... Imported",".414665","Billion PKR","Normal","","52","Outstanding Advances Of All Banks Against Imported Sugar - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","31-Jul-2024","TS_GP_BAM_ADVBYBOR_M.ABS0004400","......................... Kariana and Spices","1.321045","Billion PKR","Normal","","53","Outstanding Advances Of All Banks Against Kariana And Spices - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","31-Jul-2024","TS_GP_BAM_ADVBYBOR_M.ABS0004500","......................... Fish and Fish Preparations",".645876","Billion PKR","Normal","","54","Outstanding Advances Of All Banks Against Fish And Fish Preparations - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","31-Jul-2024","TS_GP_BAM_ADVBYBOR_M.ABS0004600","......................... Other Food Items","88.283177","Billion PKR","Normal","","55","Outstanding Advances Of All Banks Against Other Food Items - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","31-Jul-2024","TS_GP_BAM_ADVBYBOR_M.ABS0004700","............................... Indigenous","87.39763","Billion PKR","Normal","","56","Outstanding Advances Of All Banks Against Indigenous Other Food Items - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","31-Jul-2024","TS_GP_BAM_ADVBYBOR_M.ABS0004800","............................... Imported",".885547","Billion PKR","Normal","","57","Outstanding Advances Of All Banks Against Imported Other Food Items - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","31-Jul-2024","TS_GP_BAM_ADVBYBOR_M.ABS0004900","................... Raw Materials","692.899679","Billion PKR","Normal","","58","Outstanding Advances Of All Banks Against Raw Materials - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","31-Jul-2024","TS_GP_BAM_ADVBYBOR_M.ABS0005000","......................... Cotton Raw","144.628424","Billion PKR","Normal","","59","Outstanding Advances Of All Banks Against Cotton Raw - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","31-Jul-2024","TS_GP_BAM_ADVBYBOR_M.ABS0005100","............................... Indigenous","125.553409","Billion PKR","Normal","","60","Outstanding Advances Of All Banks Against Indigenous Raw Cotton - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","31-Jul-2024","TS_GP_BAM_ADVBYBOR_M.ABS0005200","............................... Imported","19.075015","Billion PKR","Normal","","61","Outstanding Advances Of All Banks Against Imported Raw Cotton - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","31-Jul-2024","TS_GP_BAM_ADVBYBOR_M.ABS0005300","......................... Synthetic Fibers","15.361711","Billion PKR","Normal","","62","Outstanding Advances Of All Banks Against Synthetic Fibers - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","31-Jul-2024","TS_GP_BAM_ADVBYBOR_M.ABS0005400","............................... Indigenous","14.002446","Billion PKR","Normal","","63","Outstanding Advances Of All Banks Against Indigenous Synthetic Fibers - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","31-Jul-2024","TS_GP_BAM_ADVBYBOR_M.ABS0005500","............................... Imported","1.359265","Billion PKR","Normal","","64","Outstanding Advances Of All Banks Against Imported Synthetic Fibers - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","31-Jul-2024","TS_GP_BAM_ADVBYBOR_M.ABS0005600","......................... Fertilizers","41.089644","Billion PKR","Normal","","65","Outstanding Advances Of All Banks Against Fertilizers - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","31-Jul-2024","TS_GP_BAM_ADVBYBOR_M.ABS0005700","............................... Indigenous","37.651989","Billion PKR","Normal","","66","Outstanding Advances Of All Banks Against Indigenous Fertilizers - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","31-Jul-2024","TS_GP_BAM_ADVBYBOR_M.ABS0005800","............................... Imported","3.437655","Billion PKR","Normal","","67","Outstanding Advances Of All Banks Against Imported Fertilizers - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","31-Jul-2024","TS_GP_BAM_ADVBYBOR_M.ABS0005900","......................... Petroleum Crude","128.71907","Billion PKR","Normal","","68","Outstanding Advances Of All Banks Against Petroleum Crude - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","31-Jul-2024","TS_GP_BAM_ADVBYBOR_M.ABS0006000","............................... Indigenous","111.344812","Billion PKR","Normal","","69","Outstanding Advances Of All Banks Against Indigenous Crude Petroleum - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","31-Jul-2024","TS_GP_BAM_ADVBYBOR_M.ABS0006100","............................... Imported","17.374258","Billion PKR","Normal","","70","Outstanding Advances Of All Banks Against Imported Crude Petroleum - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","31-Jul-2024","TS_GP_BAM_ADVBYBOR_M.ABS0006200","......................... Iron and Steel","140.183089","Billion PKR","Normal","","71","Outstanding Advances Of All Banks Against Iron And Steel - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","31-Jul-2024","TS_GP_BAM_ADVBYBOR_M.ABS0006300","............................... Indigenous","94.520616","Billion PKR","Normal","","72","Outstanding Advances Of All Banks Against Indigenous Iron And Steel - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","31-Jul-2024","TS_GP_BAM_ADVBYBOR_M.ABS0006400","............................... Imported","45.662473","Billion PKR","Normal","","73","Outstanding Advances Of All Banks Against Imported Iron And Steel - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","31-Jul-2024","TS_GP_BAM_ADVBYBOR_M.ABS0006500","......................... Wool and Goat Hair",".014838","Billion PKR","Normal","","74","Outstanding Advances Of All Banks Against Wool And Goat Hair - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","31-Jul-2024","TS_GP_BAM_ADVBYBOR_M.ABS0006600","......................... Hides and Skins","5.698068","Billion PKR","Normal","","75","Outstanding Advances Of All Banks Against Hides And Skins - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","31-Jul-2024","TS_GP_BAM_ADVBYBOR_M.ABS0006700","......................... Oil Seeds","10.284011","Billion PKR","Normal","","76","Outstanding Advances Of All Banks Against Oil Seeds - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","31-Jul-2024","TS_GP_BAM_ADVBYBOR_M.ABS0006800","......................... Pesticides and Insecticides","5.395172","Billion PKR","Normal","","77","Outstanding Advances Of All Banks Against Pesticides And Insecticides - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","31-Jul-2024","TS_GP_BAM_ADVBYBOR_M.ABS0006900","............................... Indigenous","4.90613","Billion PKR","Normal","","78","Outstanding Advances Of All Banks Against Indigenous Pesticides And Insecticides - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","31-Jul-2024","TS_GP_BAM_ADVBYBOR_M.ABS0007000","............................... Imported",".489042","Billion PKR","Normal","","79","Outstanding Advances Of All Banks Against Imported Pesticides And Insecticides - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","31-Jul-2024","TS_GP_BAM_ADVBYBOR_M.ABS0007100","......................... Other Raw Materials","201.525652","Billion PKR","Normal","","80","Outstanding Advances Of All Banks Against Other Raw Materials - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","31-Jul-2024","TS_GP_BAM_ADVBYBOR_M.ABS0007200","............................... Indigenous","169.136481","Billion PKR","Normal","","81","Outstanding Advances Of All Banks Against Other Indigenous Raw Materials - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","31-Jul-2024","TS_GP_BAM_ADVBYBOR_M.ABS0007300","............................... Imported","32.389171","Billion PKR","Normal","","82","Outstanding Advances Of All Banks Against Other Imported Raw Materials - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","31-Jul-2024","TS_GP_BAM_ADVBYBOR_M.ABS0007400","................... Finished / Manufactured Goods","1289.795438","Billion PKR","Normal","","83","Outstanding Advances Of All Banks Against Finished / Manufactured Goods - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","31-Jul-2024","TS_GP_BAM_ADVBYBOR_M.ABS0007500","......................... Cotton Textiles","335.308866","Billion PKR","Normal","","84","Outstanding Advances Of All Banks Against Cotton Textiles - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","31-Jul-2024","TS_GP_BAM_ADVBYBOR_M.ABS0007600","............................... Indigenous","309.006935","Billion PKR","Normal","","85","Outstanding Advances Of All Banks Against Indigenous Cotton Textiles - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","31-Jul-2024","TS_GP_BAM_ADVBYBOR_M.ABS0007700","............................... Imported","26.301931","Billion PKR","Normal","","86","Outstanding Advances Of All Banks Against Imported Cotton Textiles - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","31-Jul-2024","TS_GP_BAM_ADVBYBOR_M.ABS0007800","......................... Cotton Yarn","84.976895","Billion PKR","Normal","","87","Outstanding Advances Of All Banks Against Cotton Yarn - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","31-Jul-2024","TS_GP_BAM_ADVBYBOR_M.ABS0007900","............................... Indigenous","81.870839","Billion PKR","Normal","","88","Outstanding Advances Of All Banks Against Indigenous Cotton Yarn - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","31-Jul-2024","TS_GP_BAM_ADVBYBOR_M.ABS0008000","............................... Imported","3.106056","Billion PKR","Normal","","89","Outstanding Advances Of All Banks Against Imported Cotton Yarn - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","31-Jul-2024","TS_GP_BAM_ADVBYBOR_M.ABS0008100","......................... Other Textiles","236.716905","Billion PKR","Normal","","90","Outstanding Advances Of All Banks Against Other Textiles - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","31-Jul-2024","TS_GP_BAM_ADVBYBOR_M.ABS0008200","............................... Indigenous","231.041297","Billion PKR","Normal","","91","Outstanding Advances Of All Banks Against Other Indigenous Textiles - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","31-Jul-2024","TS_GP_BAM_ADVBYBOR_M.ABS0008300","............................... Imported","5.675608","Billion PKR","Normal","","92","Outstanding Advances Of All Banks Against Other Imported Textiles - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","31-Jul-2024","TS_GP_BAM_ADVBYBOR_M.ABS0008400","......................... Machinery","51.421632","Billion PKR","Normal","","93","Outstanding Advances Of All Banks Against Machinery - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","31-Jul-2024","TS_GP_BAM_ADVBYBOR_M.ABS0008500","............................... Locally Manufactured","31.233341","Billion PKR","Normal","","94","Outstanding Advances Of All Banks Against Locally Manufactured Machinery - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","31-Jul-2024","TS_GP_BAM_ADVBYBOR_M.ABS0008600","............................... Imported","20.188291","Billion PKR","Normal","","95","Outstanding Advances Of All Banks Against Imported Machinery - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","31-Jul-2024","TS_GP_BAM_ADVBYBOR_M.ABS0008700","......................... Handloom Products",".02","Billion PKR","Normal","","96","Outstanding Advances Of All Banks Against Handloom Products - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","31-Jul-2024","TS_GP_BAM_ADVBYBOR_M.ABS0008800","......................... Carpets and Rugs",".486246","Billion PKR","Normal","","97","Outstanding Advances Of All Banks Against Carpets And Rugs - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","31-Jul-2024","TS_GP_BAM_ADVBYBOR_M.ABS0008900","......................... Readymade Garments","71.899709","Billion PKR","Normal","","98","Outstanding Advances Of All Banks Against Readymade Garments - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","31-Jul-2024","TS_GP_BAM_ADVBYBOR_M.ABS0009000","......................... Cement and Cement Products","104.715767","Billion PKR","Normal","","99","Outstanding Advances Of All Banks Against Cement And Cement Products - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","31-Jul-2024","TS_GP_BAM_ADVBYBOR_M.ABS0009100","............................... Indigenous","103.747448","Billion PKR","Normal","","100","Outstanding Advances Of All Banks Against Indigenous Cement And Cement Products - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","31-Jul-2024","TS_GP_BAM_ADVBYBOR_M.ABS0009200","............................... Imported",".968319","Billion PKR","Normal","","101","Outstanding Advances Of All Banks Against Imported Cement And Cement Products - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","31-Jul-2024","TS_GP_BAM_ADVBYBOR_M.ABS0009300","......................... Sports Goods","1.287043","Billion PKR","Normal","","102","Outstanding Advances Of All Banks Against Sports Goods - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","31-Jul-2024","TS_GP_BAM_ADVBYBOR_M.ABS0009400","......................... Surgical Instruments","5.956035","Billion PKR","Normal","","103","Outstanding Advances Of All Banks Against Surgical Instruments - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","31-Jul-2024","TS_GP_BAM_ADVBYBOR_M.ABS0009500","......................... Chemicals and Dyes","65.342993","Billion PKR","Normal","","104","Outstanding Advances Of All Banks Against Chemicals And Dyes - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","31-Jul-2024","TS_GP_BAM_ADVBYBOR_M.ABS0009600","......................... Other Finished Goods","331.663347","Billion PKR","Normal","","105","Outstanding Advances Of All Banks Against Other Finished Goods - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","31-Jul-2024","TS_GP_BAM_ADVBYBOR_M.ABS0009700","............................... Indigenous","316.843058","Billion PKR","Normal","","106","Outstanding Advances Of All Banks Against Other Indigenous Finished Goods - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","31-Jul-2024","TS_GP_BAM_ADVBYBOR_M.ABS0009800","............................... Imported","14.820289","Billion PKR","Normal","","107","Outstanding Advances Of All Banks Against Other Imported Finished Goods - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","31-Jul-2024","TS_GP_BAM_ADVBYBOR_M.ABS0009900","............. FIXED ASSETS","1314.100093","Billion PKR","Normal","","108","Outstanding Advances Of All Banks Against Fixed Assets - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","31-Jul-2024","TS_GP_BAM_ADVBYBOR_M.ABS0010000","................... Transport equipment","448.290154","Billion PKR","Normal","","109","Outstanding Advances Of All Banks Against Transport Equipment - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","31-Jul-2024","TS_GP_BAM_ADVBYBOR_M.ABS0010100","................... Furniture & Fixtures","10.129644","Billion PKR","Normal","","110","Outstanding Advances Of All Banks Against Furniture & Fixtures - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","31-Jul-2024","TS_GP_BAM_ADVBYBOR_M.ABS0010200","................... Office equipment","38.620767","Billion PKR","Normal","","111","Outstanding Advances Of All Banks Against Office Equipment - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","31-Jul-2024","TS_GP_BAM_ADVBYBOR_M.ABS0010300","................... Other machinery & equipment","817.059528","Billion PKR","Normal","","112","Outstanding Advances Of All Banks Against Other Machinery & Equipment - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","31-Jul-2024","TS_GP_BAM_ADVBYBOR_M.ABS0010400","............. REAL ESTATE","1217.995742","Billion PKR","Normal","","113","Outstanding Advances Of All Banks Against Real Estate - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","31-Jul-2024","TS_GP_BAM_ADVBYBOR_M.ABS0010500","................... Land","551.883308","Billion PKR","Normal","","114","Outstanding Advances Of All Banks Against Land - To Private Sector (Business)"
"Advances Classified By Securities/ Borrowers","31-Jul-2024","TS_GP_BAM_ADVBYBOR_M.ABS0010600","................... Buildings","666.112434","Billion PKR","Normal","","115","Outstanding Advances Of All Banks Against Buildings - To Private Sector (Business)"
